Insertion sort,Selection sort,Bubble sort,Merge sort,Quick sort (improved),Counting sort,Heap sort,Radix sort
62.01896071,34.56778288,111.2603483,0.08315897,0.45281768,0.01196861,0.15024519,0.05186033
61.92319274,34.68686438,111.1107962,0.08377624,0.45183372,0.0119679,0.14760542,0.05281711
62.59406662,34.57416964,110.9763241,0.08212447,0.45131826,0.01110291,0.14586329,0.051826
62.88303971,34.85729241,116.7770088,0.09435606,0.51186848,0.01280165,0.18484998,0.06117249
62.2799431,34.8280194,111.1795424,0.08470258,0.45484509,0.01196759,0.14956487,0.0528593
62.54677243,34.84185398,111.3584308,0.08252357,0.45194727,0.01196793,0.15024531,0.05285893
62.41003511,34.44142925,111.1937988,0.08406888,0.45262512,0.01196753,0.14794762,0.05285906
61.83429417,34.71417568,111.1187278,0.08280871,0.45329424,0.01196858,0.14760534,0.05285855
62.11364688,34.59906338,111.2286022,0.08393095,0.45226418,0.01196745,0.14990722,0.05285882
61.69682362,34.65914588,111.2119782,0.08135035,0.45183786,0.01196793,0.14760554,0.05285866
62.50243438,34.78983949,111.3876208,0.08264283,0.45187103,0.0119679,0.14990745,0.05285878
62.6575394,34.55477052,111.1881537,0.08406896,0.45284561,0.0119679,0.14794776,0.05285906
