Insertion sort,Selection sort,Bubble sort,Merge sort,Quick sort (improved),Counting sort,Heap sort,Radix sort
33.98511004,33.67360973,79.59920168,0.09844255,0.09977508,0.01192546,0.15657735,0.05473566
33.5854032,33.7220881,81.17104769,0.09873724,0.10376453,0.01196909,0.1565814,0.05801415
33.33899426,33.69365406,79.54371595,0.10178757,0.1034584,0.01196408,0.15996671,0.05326867
33.34059262,33.59271026,79.57829762,0.09873629,0.09873629,0.01196742,0.15562534,0.05396891
33.20933576,33.79462488,80.43293826,0.09911054,0.10155967,0.01194311,0.15767819,0.05470856
33.67190244,33.93888975,79.40254767,0.09889334,0.10050911,0.01192872,0.15531196,0.05555372
33.45279877,33.64768855,81.07662009,0.09895699,0.10297745,0.01198033,0.15778728,0.05677821
33.74695521,33.91969495,80.04238334,0.09872252,0.10050703,0.01196289,0.15674015,0.05430361
33.89637452,33.62168684,80.79798921,0.09963018,0.10217504,0.0119445,0.16036867,0.05561797
33.11011346,33.71397469,80.64729241,0.10058416,0.10058416,0.01194677,0.15677557,0.05632934
33.47506831,33.74388278,81.07827789,0.09923964,0.10096812,0.01196192,0.15921831,0.05512487
33.22239986,33.78083232,79.68437798,0.10016363,0.10133232,0.0119615,0.15757549,0.05478712
